ticker,N,MAPE,date_start,date_end,model_type,notes,n_epochs,sentiment_variance,price_variance
OXY,115,1.9497200514993658,2020-09-23 00:00:00,2021-02-18 00:00:00,arima, ,,0.4427309039465277,0.045511369083583594
OXY,115,2.617031501825243,2020-09-23 00:00:00,2021-02-18 00:00:00,prophet, ,,0.4427309039465277,0.045511369083583594
OXY,119,3.351383742138969,2020-09-17 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,9.0,0.4427309039465277,0.045511369083583594
OXY,119,3.2621694077954775,2020-09-17 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,9.0,0.4427309039465277,0.045511369083583594
TSN,113,72.79502820666296,2020-09-18 00:00:00,2021-02-18 00:00:00,arima, ,,0.37022821654971416,0.12372379816407701
TSN,113,105.1298105182581,2020-09-18 00:00:00,2021-02-18 00:00:00,prophet, ,,0.37022821654971416,0.12372379816407701
TSN,117,120.37644766555763,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,5.0,0.37022821654971416,0.12372379816407701
TSN,117,101.11174593406074,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,4.0,0.37022821654971416,0.12372379816407701
ALB,111,36.792374335901954,2020-09-15 00:00:00,2021-02-18 00:00:00,arima, ,,0.2004900602513456,1.633633247659784
ALB,111,31.686546316726638,2020-09-15 00:00:00,2021-02-18 00:00:00,prophet, ,,0.2004900602513456,1.633633247659784
ALB,115,54.424821781158336,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,5.0,0.2004900602513456,1.633633247659784
ALB,115,49.49386514508452,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,7.0,0.2004900602513456,1.633633247659784
UAL,91,3.87583103249889,2020-10-28 00:00:00,2021-02-18 00:00:00,arima, ,,0.42904566571771896,0.03431312640898668
UAL,91,5.40208863531183,2020-10-28 00:00:00,2021-02-18 00:00:00,prophet, ,,0.42904566571771896,0.03431312640898668
UAL,95,13.734964563480306,2020-10-22 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,8.0,0.42904566571771896,0.03431312640898668
UAL,95,10.434332171279536,2020-10-22 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,6.0,0.42904566571771896,0.03431312640898668
AAL,118,2.8592234708662723,2020-09-21 00:00:00,2021-02-18 00:00:00,arima, ,,0.38708902689145597,0.029531042058786355
AAL,118,4.004240141192973,2020-09-21 00:00:00,2021-02-18 00:00:00,prophet, ,,0.38708902689145597,0.029531042058786355
AAL,122,4.607252484682729,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,14.0,0.38708902689145597,0.029531042058786355
AAL,122,3.4784318516541486,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,13.0,0.38708902689145597,0.029531042058786355
CBOE,88,12.998901820542875,2020-10-14 00:00:00,2021-02-17 00:00:00,arima, ,,0.22985110209633178,0.18859954524196673
CBOE,88,15.826136370381946,2020-10-14 00:00:00,2021-02-17 00:00:00,prophet, ,,0.22985110209633178,0.18859954524196673
CBOE,92,14.533360682767887,2020-10-08 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,7.0,0.22985110209633178,0.18859954524196673
CBOE,92,13.479496411863334,2020-10-08 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,16.0,0.22985110209633178,0.18859954524196673
XRX,112,8.176761573922562,2020-09-10 00:00:00,2021-02-17 00:00:00,arima, ,,0.07095997346324444,0.09574369677843386
