ticker,N,MAPE,date_start,date_end,model_type,notes,n_epochs,sentiment_variance
JPM, , , , , ,error during data_prep,,
MCD, , , , , ,error during data_prep,,
MRK, , , , , ,error during data_prep,,
MSFT, , , , , ,error during data_prep,,
NKE, , , , , ,error during data_prep,,
PFE, , , , , ,error during data_prep,,
UNH, , , , , ,error during data_prep,,
VZ, , , , , ,error during data_prep,,
V,119,97.31416743826784,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.1489552224188403
V,119,124.08312679102787,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.1489552224188403
V,123,92.72592118036552,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.1489552224188403
V,123,93.25150503844388,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,4.0,0.1489552224188403
WMT, , , , , ,error during data_prep,,
WBA, , , , , ,error during data_prep,,
AMGN,112,10.76334176237675,2020-09-10 00:00:00,2021-02-17 00:00:00,arima, ,,0.3202341477245208
AMGN,112,12.686047244287128,2020-09-10 00:00:00,2021-02-17 00:00:00,prophet, ,,0.3202341477245208
AMGN,116,9.984546488106687,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,16.0,0.3202341477245208
AMGN,116,9.454387079132113,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,12.0,0.3202341477245208
BA,195,100.80032904023295,2020-06-01 00:00:00,2021-02-18 00:00:00,arima, ,,0.3405810060054693
BA,195,136.77709924350597,2020-06-01 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3405810060054693
BA,199,93.096681111286,2020-05-26 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.3405810060054693
BA,199,93.52080473366556,2020-05-26 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,4.0,0.3405810060054693
CAT,116,14.314288831607092,2020-09-11 00:00:00,2021-02-18 00:00:00,arima, ,,0.30069672386095125
CAT,116,15.009053479529557,2020-09-11 00:00:00,2021-02-18 00:00:00,prophet, ,,0.30069672386095125
CAT,120,27.87178774318042,2020-09-04 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,5.0,0.30069672386095125
CAT,120,32.68313570899589,2020-09-04 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,6.0,0.30069672386095125
CVX,115,6.704347819580127,2020-09-22 00:00:00,2021-02-18 00:00:00,arima, ,,0.4046462445975162
CVX,115,8.564431669667153,2020-09-22 00:00:00,2021-02-18 00:00:00,prophet, ,,0.4046462445975162
CVX,119,9.689869731133797,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,7.0,0.4046462445975162
CVX,119,7.119267495616411,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,12.0,0.4046462445975162
