ds,y,yhat,model_type
2020-11-13,0.7599080798627129,0.6444667058358458,arima
2020-11-14,0.7773488629890736,0.7599080798627129,arima
2020-11-16,0.8446204550478955,0.7773488629890736,arima
2020-11-17,0.7790098899534886,0.8446204550478955,arima
2020-11-18,0.7449588371829742,0.7790098899534886,arima
2020-11-19,0.7997727270086805,0.7449588371829742,arima
2020-11-20,0.8869766426404875,0.7997727270086805,arima
2020-11-21,0.9085699931778863,0.8869766426404875,arima
2020-11-23,1.0896219322991605,0.9085699931778863,arima
2020-11-24,1.173503794002135,1.0896219322991605,arima
2020-11-25,1.2017412523971962,1.173503794002135,arima
2020-11-27,1.2507415478474495,1.2017412523971962,arima
2020-11-30,1.2432669265075802,1.2507415478474495,arima
2020-12-01,1.1768258479309661,1.2432669265075802,arima
2020-12-02,1.2598771961517339,1.1768258479309663,arima
2020-12-03,1.242436413025373,1.2598771961517339,arima
2020-12-04,1.4508952970594993,1.242436413025373,arima
2020-12-05,1.4508952970594993,1.4508952970594993,arima
2020-12-07,1.3221657073173096,1.4508952970594993,arima
2020-12-08,1.4542173509883305,1.3221657073173096,arima
2020-12-09,1.5505569149244207,1.4542173509883305,arima
2020-12-10,1.4998955925097524,1.5505569149244205,arima
2020-12-11,1.4342850274153456,1.4998955925097524,arima
2020-12-12,1.467505566703653,1.4342850274153456,arima
2020-12-14,1.2499110343652413,1.467505566703653,arima
2020-12-15,1.1145373367653904,1.2499110343652413,arima
2020-12-16,1.2499110343652413,1.1145373367653904,arima
2020-12-17,1.1909445771284968,1.2499110343652413,arima
2020-12-18,1.2141989546303118,1.1909445771284968,arima
2020-12-19,1.2092158737370657,1.2141989546303118,arima
2020-12-21,1.1444358221248667,1.2092158737370657,arima
2020-12-22,1.0771642300660447,1.1444358221248667,arima
2020-12-23,1.1427747951604517,1.0771642300660447,arima
2020-12-24,1.126164525516298,1.1427747951604517,arima
2020-12-28,1.13529186868576,1.126164525516298,arima
2020-12-29,1.2349617916855038,1.13529186868576,arima
2020-12-30,1.2806400332069259,1.2349617916855038,arima
2020-12-31,1.4467344245136387,1.2806400332069259,arima
2021-01-01,1.4384375948263848,1.4467344245136387,arima
2021-01-04,1.2939282489222483,1.4384375948263848,arima
2021-01-05,1.3794711375896391,1.2939282489222483,arima
2021-01-06,1.308046978119779,1.3794711375896391,arima
2021-01-07,1.401064488127039,1.308046978119779,arima
2021-01-08,1.4475732431306692,1.401064488127039,arima
2021-01-09,1.448403756612876,1.4475732431306692,arima
2021-01-11,1.6128454260899965,1.448403756612876,arima
2021-01-12,1.6610152080580416,1.6128454260899965,arima
2021-01-13,1.8644910111989226,1.6610152080580416,arima
2021-01-14,1.810507634855423,1.8644910111989226,arima
2021-01-15,1.7083544765438796,1.810507634855423,arima
2021-01-19,1.8478807415547687,1.7083544765438796,arima
2021-01-20,1.9151523336135907,1.8478807415547687,arima
2021-01-21,1.7581852854763398,1.9151523336135907,arima
2021-01-22,1.7689819607450392,1.75818528547634,arima
2021-01-23,1.737422448421148,1.7689819607450392,arima
2021-01-25,1.7083544765438796,1.737422448421148,arima
2021-01-26,1.5704892384974045,1.7083544765438796,arima
2021-01-27,1.0522488255998148,1.5704892384974047,arima
2021-01-28,1.1377917142672056,1.0522488255998148,arima
2021-01-29,1.0480962581887765,1.1377917142672056,arima
2021-02-01,1.0937744997101986,1.0480962581887765,arima
2021-02-02,1.149418903018113,1.0937744997101986,arima
2021-02-03,1.4467427296484612,1.149418903018113,arima
2021-02-04,1.5297940778692287,1.4467427296484612,arima
2021-02-05,1.580455400283897,1.5297940778692287,arima
2021-02-06,1.578794373319482,1.580455400283897,arima
2021-02-08,1.3886067858939235,1.578794373319482,arima
2021-02-09,1.286453627582379,1.3886067858939235,arima
2021-02-10,1.172673280519928,1.286453627582379,arima
2021-02-11,1.1394527412316204,1.172673280519928,arima
2021-02-12,1.2249956298990112,1.1394527412316204,arima
2021-02-13,1.2266566568634263,1.2249956298990112,arima
2021-02-16,1.2225040894523882,1.2266566568634263,arima
2021-02-17,1.3844542184828854,1.2225040894523882,arima
2021-02-18,1.4035560285736624,1.3844542184828854,arima
